colony,technique,count,diff,absdiff,actual,Obs,focus,counter,image
3,UAV90,545,-2,2,547,MF,Y,UAV,Y
3,UAV120,543,-4,4,547,NH,Y,UAV,Y
3,UAV30,548,1,1,547,PM,Y,UAV,Y
3,UAV120,552,5,5,547,PY,Y,UAV,Y
3,Ground,479,-68,68,547,PS,Y,Gro,N
3,UAV120,544,-3,3,547,SR,Y,UAV,Y
3,UAV30,549,2,2,547,SV,Y,UAV,Y
3,UAV60,549,2,2,547,SK,Y,UAV,Y
3,UAV120,551,4,4,547,XG,Y,UAV,Y
3,UAV30,549,2,2,547,ZB,Y,UAV,Y
4,UAV60,504,0,0,504,AR,Y,UAV,Y
4,UAV120,494,-10,10,504,AF,Y,UAV,Y
4,UAV90,491,-13,13,504,AJ,Y,UAV,Y
4,UAV90,500,-4,4,504,AY,Y,UAV,Y
4,Ground,413,-91,91,504,AS,Y,Gro,N
4,UAV90,514,10,10,504,AH,Y,UAV,Y
4,UAV60,499,-5,5,504,BH,Y,UAV,Y
4,UAV30,500,-4,4,504,CA,Y,UAV,Y
4,Ground,489,-15,15,504,DR,Y,Gro,N
4,UAV30,503,-1,1,504,DN,Y,UAV,Y
4,UAV90,510,6,6,504,DM,Y,UAV,Y
4,UAV30,502,-2,2,504,DT,Y,UAV,Y
4,UAV120,497,-7,7,504,GS,Y,UAV,Y
4,Ground,720,216,216,504,GC,Y,Gro,N
4,UAV120,496,-8,8,504,JB,Y,UAV,Y
4,UAV90,502,-2,2,504,JM,Y,UAV,Y
4,Ground,486,-18,18,504,JD,Y,Gro,N
4,UAV90,501,-3,3,504,JP,Y,UAV,Y
4,UAV60,509,5,5,504,JC,Y,UAV,Y
4,UAV60,504,0,0,504,JG,Y,UAV,Y
4,Ground,496,-8,8,504,LM,Y,Gro,N
4,Ground,365,-139,139,504,LC,Y,Gro,N
4,UAV60,500,-4,4,504,MB,Y,UAV,Y
4,UAV30,503,-1,1,504,MD,Y,UAV,Y
4,UAV90,511,7,7,504,MW,Y,UAV,Y
4,UAV60,497,-7,7,504,MG,Y,UAV,Y
4,UAV90,510,6,6,504,MF,Y,UAV,Y
4,UAV120,487,-17,17,504,NH,Y,UAV,Y
4,UAV30,503,-1,1,504,PM,Y,UAV,Y
4,UAV120,486,-18,18,504,PY,Y,UAV,Y
4,Ground,427,-77,77,504,PS,Y,Gro,N
4,UAV120,512,8,8,504,SR,Y,UAV,Y
4,UAV30,503,-1,1,504,SV,Y,UAV,Y
4,UAV60,498,-6,6,504,SK,Y,UAV,Y
4,UAV120,492,-12,12,504,XG,Y,UAV,Y
4,UAV30,500,-4,4,504,ZB,Y,UAV,Y
5,UAV60,1000,-17,17,1017,AR,N,UAV,Y
5,UAV120,620,-397,397,1017,AF,N,UAV,Y
5,UAV90,589,-428,428,1017,AJ,N,UAV,Y
5,UAV90,894,-123,123,1017,AY,N,UAV,Y
5,Ground,828,-189,189,1017,AS,N,Gro,N
5,UAV90,937,-80,80,1017,AH,N,UAV,Y
5,UAV60,911,-106,106,1017,BH,N,UAV,Y
5,UAV30,1011,-6,6,1017,CA,N,UAV,Y
5,UAV30,1018,1,1,1017,DN,N,UAV,Y
5,UAV90,875,-142,142,1017,DM,N,UAV,Y
5,UAV30,1015,-2,2,1017,DT,N,UAV,Y
5,UAV120,881,-136,136,1017,GS,N,UAV,Y
5,UAV120,543,-474,474,1017,JB,N,UAV,Y
5,UAV90,881,-136,136,1017,JM,N,UAV,Y
5,Ground,898,-119,119,1017,JD,N,Gro,N
5,UAV90,796,-221,221,1017,JP,N,UAV,Y
5,UAV60,947,-70,70,1017,JC,N,UAV,Y
5,UAV60,964,-53,53,1017,JG,N,UAV,Y
5,Ground,917,-100,100,1017,LC,N,Gro,N
5,UAV60,982,-35,35,1017,MB,N,UAV,Y
5,UAV30,1022,5,5,1017,MD,N,UAV,Y
5,UAV90,660,-357,357,1017,MW,N,UAV,Y
5,UAV60,899,-118,118,1017,MG,N,UAV,Y
5,UAV90,799,-218,218,1017,MF,N,UAV,Y
5,UAV120,723,-294,294,1017,NH,N,UAV,Y
5,UAV30,995,-22,22,1017,PM,N,UAV,Y
5,UAV120,802,-215,215,1017,PY,N,UAV,Y
5,Ground,867,-150,150,1017,PS,N,Gro,N
5,UAV120,736,-281,281,1017,SR,N,UAV,Y
5,UAV30,1010,-7,7,1017,SV,N,UAV,Y
5,UAV60,874,-143,143,1017,SK,N,UAV,Y
5,UAV120,698,-319,319,1017,XG,N,UAV,Y
5,UAV30,1009,-8,8,1017,ZB,N,UAV,Y
6,UAV60,858,-5,5,863,AR,Y,UAV,Y
6,UAV120,846,-17,17,863,AF,Y,UAV,Y
6,UAV90,857,-6,6,863,AJ,Y,UAV,Y
6,UAV90,859,-4,4,863,AY,Y,UAV,Y
6,Ground,581,-282,282,863,AS,Y,Gro,N
6,UAV90,861,-2,2,863,AH,Y,UAV,Y
6,UAV60,854,-9,9,863,BH,Y,UAV,Y
6,UAV30,859,-4,4,863,CA,Y,UAV,Y
6,Ground,670,-193,193,863,DR,Y,Gro,N
6,UAV30,862,-1,1,863,DN,Y,UAV,Y
6,UAV90,860,-3,3,863,DM,Y,UAV,Y
6,UAV30,858,-5,5,863,DT,Y,UAV,Y
6,UAV120,862,-1,1,863,GS,Y,UAV,Y
6,Ground,1120,257,257,863,GC,Y,Gro,N
6,UAV120,854,-9,9,863,JB,Y,UAV,Y
6,UAV90,857,-6,6,863,JM,Y,UAV,Y
6,Ground,714,-149,149,863,JD,Y,Gro,N
6,UAV90,857,-6,6,863,JP,Y,UAV,Y
6,UAV60,860,-3,3,863,JC,Y,UAV,Y
6,UAV60,857,-6,6,863,JG,Y,UAV,Y
6,Ground,669,-194,194,863,LM,Y,Gro,N
6,Ground,640,-223,223,863,LC,Y,Gro,N
6,UAV60,858,-5,5,863,MB,Y,UAV,Y
6,UAV30,858,-5,5,863,MD,Y,UAV,Y
6,UAV90,853,-10,10,863,MW,Y,UAV,Y
6,UAV60,861,-2,2,863,MG,Y,UAV,Y
6,UAV90,849,-14,14,863,MF,Y,UAV,Y
6,UAV120,860,-3,3,863,NH,Y,UAV,Y
6,UAV30,857,-6,6,863,PM,Y,UAV,Y
6,UAV120,858,-5,5,863,PY,Y,UAV,Y
6,Ground,634,-229,229,863,PS,Y,Gro,N
6,UAV120,845,-18,18,863,SR,Y,UAV,Y
6,UAV30,860,-3,3,863,SV,Y,UAV,Y
6,UAV60,856,-7,7,863,SK,Y,UAV,Y
6,UAV120,862,-1,1,863,XG,Y,UAV,Y
6,UAV30,858,-5,5,863,ZB,Y,UAV,Y
7,UAV60,838,-1,1,839,AR,Y,UAV,Y
7,UAV120,825,-14,14,839,AF,Y,UAV,Y
7,UAV90,835,-4,4,839,AJ,Y,UAV,Y
7,UAV90,834,-5,5,839,AY,Y,UAV,Y
7,Ground,745,-94,94,839,AS,Y,Gro,N
7,UAV90,845,6,6,839,AH,Y,UAV,Y
7,UAV60,837,-2,2,839,BH,Y,UAV,Y
7,UAV30,838,-1,1,839,CA,Y,UAV,Y
7,UAV30,841,2,2,839,DN,Y,UAV,Y
7,UAV90,836,-3,3,839,DM,Y,UAV,Y
7,UAV30,839,0,0,839,DT,Y,UAV,Y
7,UAV120,833,-6,6,839,GS,Y,UAV,Y
7,Ground,950,111,111,839,GC,Y,Gro,N
7,UAV120,818,-21,21,839,JB,Y,UAV,Y
7,UAV90,835,-4,4,839,JM,Y,UAV,Y
7,Ground,757,-82,82,839,JD,Y,Gro,N
7,UAV90,839,0,0,839,JP,Y,UAV,Y
7,UAV60,862,23,23,839,JC,Y,UAV,Y
7,UAV60,840,1,1,839,JG,Y,UAV,Y
7,Ground,550,-289,289,839,LC,Y,Gro,N
7,UAV60,839,0,0,839,MB,Y,UAV,Y
7,UAV30,839,0,0,839,MD,Y,UAV,Y
7,UAV90,832,-7,7,839,MW,Y,UAV,Y
7,UAV60,835,-4,4,839,MG,Y,UAV,Y
7,UAV90,825,-14,14,839,MF,Y,UAV,Y
7,UAV120,839,0,0,839,NH,Y,UAV,Y
7,UAV30,831,-8,8,839,PM,Y,UAV,Y
7,UAV120,838,-1,1,839,PY,Y,UAV,Y
7,Ground,691,-148,148,839,PS,Y,Gro,N
7,UAV120,824,-15,15,839,SR,Y,UAV,Y
7,UAV30,839,0,0,839,SV,Y,UAV,Y
7,UAV60,837,-2,2,839,SK,Y,UAV,Y
7,UAV120,836,-3,3,839,XG,Y,UAV,Y
7,UAV30,835,-4,4,839,ZB,Y,UAV,Y
8,UAV60,842,-1,1,843,AR,N,UAV,Y
8,UAV120,632,-211,211,843,AF,N,UAV,Y
8,UAV90,794,-49,49,843,AJ,N,UAV,Y
8,UAV90,812,-31,31,843,AY,N,UAV,Y
8,Ground,726,-117,117,843,AS,N,Gro,N
8,UAV90,836,-7,7,843,AH,N,UAV,Y
8,UAV60,837,-6,6,843,BH,N,UAV,Y
8,UAV30,840,-3,3,843,CA,N,UAV,Y
8,UAV30,850,7,7,843,DN,N,UAV,Y
8,UAV90,821,-22,22,843,DM,N,UAV,Y
8,UAV30,842,-1,1,843,DT,N,UAV,Y
8,UAV120,642,-201,201,843,GS,N,UAV,Y
8,Ground,1115,272,272,843,GC,N,Gro,N
