V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
1	-0.739025	-0.495310526315789	-0.652776	-0.216725	-0.237330769230769	-0.4104	-0.740630769230769	-0.962535714285714	-0.5785	-1.62463333333333
2	-0.3356875	-0.323026315789474	-0.695524	-0.555725	-0.227861538461538	-0.441545454545455	-0.674884615384615	-1.07051428571429	-0.5581875	-1.12533333333333
3	-0.590475	-0.152805263157895	-0.799016	-0.56505	-0.251253846153846	-0.254390909090909	-0.575738461538462	-1.23385714285714	-0.5822375	-1.12533333333333
4	-0.726354166666667	-0.170081578947368	-0.554072	0.009125	-0.200869230769231	-0.210081818181818	-0.740161538461539	-0.731935714285714	-0.5822375	-1.12533333333333
5	-0.710341666666667	-0.221281578947368	-0.888484	-1.108775	-0.3221	-0.325745454545455	-1.02146153846154	-0.825764285714286	-0.5785	-1.52178333333333
6	-0.4889	-0.3656	-0.559288	-0.41945	-0.237838461538462	-0.263609090909091	-0.744446153846154	-0.814278571428571	-0.605025	-1.01838333333333
7	-0.80915	-0.233218421052632	-0.757672	0.01555	-0.308707692307692	-0.209572727272727	-0.778038461538462	-1.08022857142857	-0.5508875	-1.07043333333333
8	-0.545816666666667	-0.489344736842105	-0.447176	-0.557725	-0.0387769230769231	-0.179454545454545	-0.794523076923077	-0.905535714285714	-0.5749375	-1.02248333333333
9	-0.599454166666667	-0.347655263157895	-0.41994	-0.248275	-0.331723076923077	-0.283018181818182	-0.554	-1.16443571428571	-0.5785	-1.62463333333333
10	-0.635145833333333	-0.288773684210526	-0.620888	-0.934725	-0.329484615384615	-0.347972727272727	-0.926207692307692	-1.04519285714286	-0.597725	-1.07043333333333
11	-0.71835	-0.257202631578947	-0.900368	-0.074225	-0.102515384615385	-0.291554545454545	-0.974984615384615	-1.15187142857143	-0.597725	-1.07043333333333
12	-0.520508333333333	-0.288447368421053	-0.76078	0.068225	-0.185846153846154	-0.367345454545455	-0.5497	-1.02012857142857	-0.605025	-1.17328333333333
13	-0.7024875	-0.370463157894737	-0.6938	-0.41945	-0.303469230769231	-0.452372727272727	-0.815415384615385	-1.01905714285714	-0.605025	-1.12123333333333
14	-0.546233333333333	-0.328473684210526	-0.599368	-0.47535	-0.118176923076923	-0.297445454545455	-0.724446153846154	-1.19222142857143	-0.5581875	-1.62463333333333
15	-0.685466666666667	-0.357347368421053	-0.490124	-0.8797	-0.265607692307692	-0.296690909090909	-0.428776923076923	-0.997742857142857	-0.605025	-1.17328333333333
16	-0.669195833333333	-0.264476315789474	-0.349372	-0.934725	-0.2735	-0.265736363636364	-0.658553846153846	-0.990221428571429	-0.5508875	-1.12533333333333
17	-0.6649125	-0.179015789473684	-0.724944	-0.7724	-0.233415384615385	-0.347218181818182	-0.821753846153846	-0.866785714285714	-0.5581875	-1.62463333333333
18	-0.704404166666667	-0.554178947368421	-0.59042	-0.128275	-0.261015384615385	-0.405809090909091	-0.754069230769231	-1.00236428571429	-0.597725	-1.52178333333333
19	-0.808445833333333	-0.126515789473684	-0.676216	0.084875	-0.160030769230769	-0.405054545454545	-0.660438461538462	-0.658285714285714	-0.5508875	-1.02248333333333
20	-0.585516666666667	-0.301628947368421	-0.44292	-0.23185	-0.212161538461538	-0.210081818181818	-0.644069230769231	-1.12364285714286	-0.5749375	-1.62463333333333
21	-0.339854166666667	-0.316868421052632	-0.690584	0.273675	-0.113469230769231	-0.264672727272727	-0.654392307692308	-0.903478571428571	-0.605025	-1.02248333333333
22	-0.586754166666667	-0.215086842105263	-0.655652	-0.93995	0.0545538461538461	-0.179454545454545	-0.763946153846154	-1.04001428571429	-0.5712	-1.12533333333333
23	-0.6722625	-0.378178947368421	-0.626624	-0.6223	-0.0421615384615385	-0.314727272727273	-0.566576923076923	-1.06660714285714	-0.605025	-1.02248333333333
24	-0.469675	-0.366597368421053	-0.631876	0.27045	-0.355907692307692	-0.232890909090909	-0.656953846153846	-1.16358571428571	-0.5785	-1.12123333333333
25	-0.6134875	-0.369581578947368	-0.753096	-0.825025	-0.125561538461538	-0.3393	-0.794707692307692	-0.876635714285714	-0.5785	-1.12533333333333
