V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
1	-0.212489873417722	-0.240060294117647	-0.11216862745098	-0.279905263157895	-0.133496296296296	-0.305588372093023	-0.168597368421053	-0.403312820512821	-0.354079411764706	-0.285638888888889
2	-0.193327848101266	-0.313788235294118	-0.102788235294118	-0.211336842105263	-0.192077777777778	-0.257595348837209	-0.175676315789474	-0.396835897435897	-0.337294117647059	-0.393777777777778
3	-0.168449367088608	-0.282901470588235	-0.139733333333333	-0.350226315789474	-0.0740074074074074	-0.342486046511628	-0.0770157894736842	-0.397751282051282	-0.406882352941176	-0.347861111111111
4	-0.206606329113924	-0.286397058823529	-0.121852941176471	-0.0878315789473684	-0.161051851851852	-0.380923255813953	-0.06695	-0.381230769230769	-0.400229411764706	-0.324377777777778
5	-0.173025316455696	-0.169686764705882	-0.106029411764706	-0.0951210526315789	-0.129862962962963	-0.407276744186047	-0.0683684210526316	-0.384853846153846	-0.356232352941176	-0.267855555555556
6	-0.205873417721519	-0.217369117647059	-0.0388294117647059	-0.193342105263158	-0.0794481481481481	-0.320148837209302	-0.0686078947368421	-0.372884615384615	-0.346226470588235	-0.181416666666667
7	-0.146487341772152	-0.223783823529412	-0.148713725490196	-0.270131578947368	-0.0734888888888889	-0.311981395348837	-0.153228947368421	-0.426266666666667	-0.372620588235294	-0.247855555555556
8	-0.156775949367089	-0.244219117647059	-0.136349019607843	-0.0706157894736842	-0.0974592592592593	-0.357983720930233	-0.136168421052632	-0.422417948717949	-0.348723529411765	-0.252538888888889
9	-0.192884810126582	-0.295683823529412	-0.115945098039216	-0.140584210526316	-0.0958851851851852	-0.291874418604651	-0.0774973684210526	-0.487328205128205	-0.366620588235294	-0.266383333333333
10	-0.194763291139241	-0.314502941176471	-0.0889039215686274	-0.0863421052631579	-0.23107037037037	-0.288323255813954	-0.236623684210526	-0.461448717948718	-0.390785294117647	-0.301
11	-0.186574683544304	-0.303988235294118	-0.0746490196078431	-0.1943	-0.0375814814814815	-0.295860465116279	-0.126692105263158	-0.453110256410256	-0.316279411764706	-0.263166666666667
12	-0.148482278481013	-0.393342647058824	-0.0316843137254902	-0.176563157894737	-0.127918518518519	-0.416062790697674	-0.256613157894737	-0.366974358974359	-0.343752941176471	-0.237522222222222
13	-0.172327848101266	-0.246558823529412	-0.113098039215686	-0.0209052631578947	-0.177048148148148	-0.354074418604651	-0.0376684210526316	-0.495364102564103	-0.388482352941177	-0.298255555555556
14	-0.157143037974684	-0.348085294117647	-0.102986274509804	-0.213052631578947	-0.0148037037037037	-0.28356976744186	-0.204923684210526	-0.416084615384615	-0.352444117647059	-0.271283333333333
15	-0.118641772151899	-0.282986764705882	-0.0931470588235294	-0.204826315789474	-0.0608481481481481	-0.276055813953488	-0.153081578947368	-0.545423076923077	-0.341888235294118	-0.285277777777778
16	-0.204794936708861	-0.210552941176471	-0.182362745098039	-0.158047368421053	-0.107451851851852	-0.3536	-0.241084210526316	-0.44895641025641	-0.380744117647059	-0.3092
17	-0.19363417721519	-0.364157352941176	-0.0979588235294118	-0.138784210526316	-0.0559407407407407	-0.30353488372093	-0.174471052631579	-0.31034358974359	-0.370879411764706	-0.349988888888889
18	-0.167660759493671	-0.224576470588235	-0.149001960784314	-0.284078947368421	-0.0809185185185185	-0.292751162790698	-0.0985131578947368	-0.420825641025641	-0.367238235294118	-0.241938888888889
19	-0.132382278481013	-0.292791176470588	-0.145613725490196	-0.193673684210526	0.00905925925925927	-0.295339534883721	-0.109047368421053	-0.4236	-0.380432352941176	-0.334355555555556
20	-0.0838113924050633	-0.279797058823529	-0.0772862745098039	-0.111005263157895	-0.0760407407407407	-0.3188	-0.0409394736842105	-0.48474358974359	-0.335194117647059	-0.342411111111111
21	-0.179562025316456	-0.272664705882353	-0.0810058823529412	-0.202415789473684	-0.0992444444444444	-0.394420930232558	-0.140786842105263	-0.411517948717949	-0.337473529411765	-0.279466666666667
22	-0.218512658227848	-0.144610294117647	-0.0784274509803922	-0.259889473684211	-0.035337037037037	-0.283402325581395	-0.124857894736842	-0.298230769230769	-0.400288235294118	-0.318461111111111
23	-0.182740506329114	-0.307308823529412	-0.135629411764706	-0.212010526315789	-0.165603703703704	-0.35793488372093	-0.141147368421053	-0.422774358974359	-0.3755	-0.156233333333333
24	-0.118426582278481	-0.320169117647059	-0.128256862745098	-0.179878947368421	-0.0692703703703704	-0.349176744186046	-0.191234210526316	-0.410010256410256	-0.339729411764706	-0.36325
25	-0.141753164556962	-0.254820588235294	-0.0848666666666667	-0.144810526315789	-0.0490185185185185	-0.397423255813953	-0.173534210526316	-0.378830769230769	-0.38915	-0.345822222222222
26	-0.143572151898734	-0.191011764705882	-0.102554901960784	-0.172621052631579	-0.266277777777778	-0.2786	-0.229742105263158	-0.497479487179487	-0.393323529411765	-0.291061111111111
27	-0.135407594936709	-0.385619117647059	-0.108896078431373	-0.110015789473684	-0.123448148148148	-0.310451162790698	-0.207868421052632	-0.400341025641026	-0.396455882352941	-0.285344444444444
28	-0.171589873417722	-0.187489705882353	-0.125264705882353	-0.136663157894737	-0.0202481481481482	-0.359518604651163	-0.205560526315789	-0.3922	-0.379314705882353	-0.304183333333333
29	-0.152821518987342	-0.213516176470588	-0.136682352941176	-0.122468421052632	-0.19767037037037	-0.381451162790698	-0.16095	-0.440958974358974	-0.369026470588235	-0.378427777777778
30	-0.199467088607595	-0.211075	-0.136990196078431	-0.0841842105263158	-0.1035	-0.315306976744186	-0.0939236842105263	-0.447028205128205	-0.343894117647059	-0.301161111111111
31	-0.25693417721519	-0.220347058823529	-0.0634156862745098	-0.128673684210526	-0.0866074074074074	-0.361709302325581	-0.157231578947368	-0.400720512820513	-0.424947058823529	-0.349877777777778
32	-0.14280253164557	-0.317117647058824	-0.106056862745098	-0.142336842105263	-0.199059259259259	-0.320186046511628	-0.2287	-0.4651	-0.380664705882353	-0.311894444444444
33	-0.195351898734177	-0.24525	-0.177088235294118	-0.0559789473684211	-0.0591333333333333	-0.340437209302326	-0.166718421052632	-0.409869230769231	-0.355279411764706	-0.313655555555556
34	-0.191226582278481	-0.234547058823529	-0.164717647058824	-0.260494736842105	-0.112911111111111	-0.298858139534884	-0.274507894736842	-0.444838461538462	-0.400735294117647	-0.351305555555556
35	-0.118060759493671	-0.211047058823529	-0.129752941176471	-0.194894736842105	-0.119762962962963	-0.33666511627907	-0.278181578947368	-0.45145641025641	-0.343344117647059	-0.266061111111111
36	-0.21626835443038	-0.250808823529412	-0.059343137254902	-0.277394736842105	-0.2207	-0.325053488372093	-0.119168421052632	-0.382407692307692	-0.404517647058824	-0.298755555555556
37	-0.287098734177215	-0.243735294117647	-0.0646	-0.217273684210526	-0.0920925925925926	-0.268923255813953	-0.169376315789474	-0.385489743589744	-0.366164705882353	-0.259738888888889
38	-0.0729569620253165	-0.319222058823529	-0.0528392156862745	-0.145136842105263	-0.169318518518519	-0.342611627906977	-0.176897368421053	-0.46074358974359	-0.364441176470588	-0.256933333333333
39	-0.170994936708861	-0.203982352941176	-0.0778490196078431	-0.139747368421053	-0.0715777777777778	-0.388786046511628	-0.185860526315789	-0.368561538461538	-0.349008823529412	-0.246083333333333
40	-0.195910126582278	-0.264416176470588	-0.0891196078431373	-0.222542105263158	-0.145603703703704	-0.340146511627907	-0.147155263157895	-0.445615384615385	-0.370461764705882	-0.371194444444444
41	-0.140691139240506	-0.208992647058824	-0.105652941176471	-0.256742105263158	-0.0423074074074074	-0.297779069767442	-0.237936842105263	-0.452802564102564	-0.363588235294118	-0.122816666666667
42	-0.200158227848101	-0.249308823529412	-0.101809803921569	-0.290184210526316	-0.153481481481481	-0.427955813953488	-0.14085	-0.407433333333333	-0.348473529411765	-0.282138888888889
